                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200608"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                       1                  7.5852787893281029E+003                  9.9999990780280312E-001                  9.1799323356848372E+000                  5.1133919761326307E+000                  0.0000000000000000E+000                                        0                                        0 
                                      10                  1.0589747289374573E+005                  9.9999909944549881E-001                  5.9274271321257137E+000                  4.0450485026569503E+000                  0.0000000000000000E+000                                        0                                        0 
                                      20                  3.2485676012804086E+005                  9.9999822101688562E-001                  3.5951145936439279E+000                  3.1358095468100511E+000                  0.0000000000000000E+000                                        0                                        0 
                                      30                  7.9785160383583233E+005                  9.9999734233073967E-001                  2.1122874822803692E+000                  2.4324364680677535E+000                  0.0000000000000000E+000                                        0                                        0 
                                      40                  1.8496452385398629E+006                  9.9999646745194970E-001                  1.1950364754688578E+000                  1.8906012182367449E+000                  0.0000000000000000E+000                                        0                                        0 
                                      50                  4.7394564379123254E+006                  9.9999547735612604E-001                  6.2361527802288874E-001                  1.4395141231898620E+000                  0.0000000000000000E+000                                        0                                        0 
                                      60                  1.2041357167753756E+007                  9.9999437305507743E-001                  4.2652780434391874E-001                  1.1468317169887050E+000                  0.0000000000000000E+000                                        0                                        0 
                                      70                  2.0055298959955614E+007                  9.9999341174193568E-001                  5.3144189523728858E-001                  1.0531545378706337E+000                  0.0000000000000000E+000                                        0                                        0 
                                      80                  2.6816420309994545E+007                  9.9999234820743121E-001                  7.7631732261951347E-001                  1.0305820907292658E+000                  0.0000000000000000E+000                                        0                                        0 
